studyName,cv1_accuracy
2020_Y3_1_Tier1,
2020_Y4_SWPAC,
2020_Y4_Tier1_ACRE,
2020_Y4_Tier3_ACRE,
2021_SPY1_FRIL_NorGrains,
2021_SPY1_FRKY_NorGrains,
2021_SPY1_FROH_NorGrains,
2021_Y1-3,0.9121141743373352
2022_AYT_Aurora,0.686131308680221
2022_AYT_Dakota_Lakes,0.6861313086802211
2022_AYT_Winner,0.8139359047410791
2022_Elite_AURORA,0.8866888815194052
2022_Elite_Dakota_Lakes,0.9200791359142326
2022_Elite_Winner,0.8885537477957113
2022_SPY1-PUR1,
2022_SPY1-PUR2,
2022_Y1-1_MI,-0.9501895598747254
2023WWCEVD,
2023WWCKVD,
2023WWCMTD,
2023WWCNED,
2023_AYT_Aurora,0.7840603517090242
2023_AYT_Dakota_Lakes,0.8290684573269271
2023_AYT_Winner,0.8290684573269271
2023_Elite_AURORA,0.8740275495168456
2023_Elite_Dakota_Lakes,0.8238988002307646
2023_Elite_Winner,0.8206627065166203
2024_Elite_ACRE,0.9944061878154068
2024_Y1_1_ACRE,
2024_Y1_2_ACRE,
2024_Y2_1_ACRE,0.9039872472086584
2024_Y2_2_ACRE,0.8776283021146817
2024_Y3_1_ACRE,0.29239332338204466
2025_Elite_ACRE,0.2929350408749045
2025_Y1-1_ACRE,1.0
2025_Y1-2_ACRE,1.0
2025_Y1-3_ACRE,1.0
2025_Y1-4_ACRE,1.0
2025_Y1-5_ACRE,1.0
2025_Y1-6_ACRE,1.0
2025_Y1-7_ACRE,1.0
2025_Y1-7_Rep_ACRE,1.0
2025_Y1-8_Light_ACRE,1.0
2025_Y2-1_ACRE,1.0
2025_Y2-2_ACRE,1.0
2025_Y3-1_ACRE,0.6730084124713319
20_AeTa_Colby_Dryland_Yield_Trials,0.919967556889261
20_AeTa_Colby_Irrigated_Yield_Trials,0.9292706257599701
22COLKS_TCAP_C,-0.26331765905416393
22COLKS_TDicQual,0.5816980152888951
22HAYKS_TCAP_C,-0.27364885934800265
22HAYKS_TDicQual,0.5816980152888953
22HUTKS_TCAP_C,-0.19910847601348314
22HUTKS_TDicQual,0.5816980152888951
22MANKS_TCAP_C,-0.21617457155952435
22MANKS_TDicQual,0.6363619619767306
22_TdGD_Hays_Yield_Trials,0.3732981931883498
23COLKS_TDicQual,0.16717827397863097
23Crk_AYs_R18_Yield,0.39737331699527556
23FTC_DTD,0.03932436604768559
23Ferg_AY1-3_Yield,0.3921682036067597
23GRY_DTD,0.05992184456070035
23GRY_VAL,0.6033630127893772
23HAYKS_TDicQual,0.16717827397863091
23HUTKS_TDicQual,0.1912984991093916
23Hall_AY1-3_PY5-6_Yield,0.39888367091475363
23MANKS_TDicQual,0.1916745627482733
23Perl_AY1-3_PY7-8_Yield,0.39129038186019066
23Ros_AY1-3Yield,0.39129038186019083
23StP_C-9,0.3973733169952756
23Steph_AY1-3_PY3-4_Yield,0.39129038186019083
23StrathconaSpring_Jochum,0.39216820360675964
23_Big6_MAS,0.4193599489688369
23_Big6_SVREC,0.4005419491656324
23_MSU_PYT_1_HURMI,1.0
23_MSU_PYT_1_MASMI,0.9999999999999998
23_MSU_PYT_1_MONMI,0.9999999999999998
23_MSU_PYT_1_SVREC,1.0
23_MSU_PYT_2_HURMI,-0.39306735473826493
23_MSU_PYT_2_MASMI,-0.40836479337739906
23_MSU_PYT_2_MONMI,-0.39306735473826493
23_MSU_PYT_2_SVREC,-0.39306735473826493
23_MSU_PYT_3_HURMI,-1.0
23_MSU_PYT_3_MASMI,-1.0
23_MSU_PYT_3_MONMI,-1.0
23_MSU_PYT_3_SVREC,-1.0
23_TdGD_Colby_Yield_Trials,0.9999999999999999
23_TdGD_Hays_Yield_Trials,0.9999999999999999
23_TdGD_Manhattan_Yield_Trials,0.3179303472483524
24_Big6_MASMI,0.2734121272629317
24_Big6_SVREC,0.2846394505125742
24_MSU_AYT_ALLMI,0.22151999411511566
24_MSU_AYT_BLUIN,0.22151999411511566
24_MSU_AYT_CENIL,0.21456156759678324
24_MSU_AYT_CENMI,0.337625090617704
24_MSU_AYT_CHAIL,0.567174255043034
24_MSU_AYT_CHAMO,0.5290282950173899
24_MSU_AYT_CRAIN,0.5290282950173899
24_MSU_AYT_HENKY,0.22151999411511566
24_MSU_AYT_HMLIL,0.567174255043034
24_MSU_AYT_HOPKY,0.22151999411511566
24_MSU_AYT_HURMI,0.567174255043034
24_MSU_AYT_LIMOH,0.337625090617704
24_MSU_AYT_MASIL,0.21456156759678324
24_MSU_AYT_MASMI,0.21456156759678324
24_MSU_AYT_MEXMO,0.21456156759678324
24_MSU_AYT_MONMI,0.5290282950173899
24_MSU_AYT_NAPOH,0.567174255043034
24_MSU_AYT_SANMI,0.22151999411511566
24_MSU_AYT_SVREC,0.337625090617704
24_MSU_AYT_TIFOH,0.337625090617704
24_MSU_PYT_1_MASMI,-0.22872862466437605
24_MSU_PYT_1_MONMI,-0.22872862466437605
24_MSU_PYT_1_SVREC,-0.3427060800719995
24_MSU_PYT_2_MASMI,-0.3114086142070872
24_MSU_PYT_2_MONMI,-0.3634209332887155
24_MSU_PYT_2_SVREC,-0.24318904368072095
24_MSU_PYT_3_MASMI,0.14080352446293964
24_MSU_PYT_3_MONMI,0.06592901676564977
24_MSU_PYT_3_SVREC,0.06592901676564977
25_Big6_MASON_MASMI,0.5479319358148775
25_MSU_AYT_MI_ALLMI,0.27227324889952254
25_MSU_AYT_MI_CENMI,0.14114874655720588
25_MSU_AYT_MI_HURMI,0.14114874655720588
25_MSU_AYT_MI_MONMI,0.14114874655720588
25_MSU_AYT_MI_SANMI,0.27227324889952254
25_MSU_AYT_Regional_CENIL,0.4106736431146432
25_MSU_AYT_Regional_CHAIL,0.3673518626231656
25_MSU_AYT_Regional_HENKY,0.46441400327003046
25_MSU_AYT_Regional_HMLIL,0.45226716366054465
25_MSU_AYT_Regional_HOPKY,0.46441400327003046
25_MSU_AYT_Regional_NAPOH,0.4522671636605448
25_MSU_AYT_Regional_TIFOH,0.4106736431146432
25_MSU_PYT_MASMI,0.19082038434123894
25_MSU_PYT_SVREC,0.19082038434123894
A5S_Neo_21,1.0
A5S_Neo_22,0.29016524036330255
A6S_Urb_19,0.7895025948526776
ABBmid_2014_Lexington,
ABBmid_2014_Woodford,
ABBmid_2015_Lexington,
ABBmid_2015_Woodford,
ARS-NRPN-2000-ALLIANCE,1.0
ARS-NRPN-2000-ARCHER,1.0
ARS-NRPN-2000-BOZEMAN,1.0
ARS-NRPN-2000-BROOKINGS,1.0
ARS-NRPN-2000-CASSELTON,0.9999999999999999
ARS-NRPN-2000-DAKOTA_LAKES,0.9999999999999999
ARS-NRPN-2000-HETTINGER,1.0
ARS-NRPN-2000-LINCOLN,1.0
ARS-NRPN-2000-ROSEMOUNT,1.0
ARS-NRPN-2000-SIDNEY,0.9999999999999999
ARS-NRPN-2000-WASECA,0.9999999999999999
ARS-NRPN-2000-WILLISTON,1.0
ARS-NRPN-2000-WINNER,1.0
ARS-NRPN-2001-ALLIANCE,1.0
ARS-NRPN-2001-ARCHER,1.0
ARS-NRPN-2001-BOZEMAN,1.0
ARS-NRPN-2001-BROOKINGS,1.0
ARS-NRPN-2001-LETHBRIDGE,0.9999999999999999
ARS-NRPN-2001-LINCOLN,1.0
ARS-NRPN-2001-MOCCASIN,0.9999999999999999
ARS-NRPN-2001-ROSEMOUNT,0.9999999999999999
ARS-NRPN-2001-SIDNEY,1.0
ARS-NRPN-2001-WASECA,0.9999999999999999
ARS-NRPN-2001-WINNER,1.0
ARS-NRPN-2004-ALLIANCE,0.998793956380196
ARS-NRPN-2004-AMES,0.9987546452578429
ARS-NRPN-2004-BOZEMAN,0.9996662522758061
ARS-NRPN-2004-BROOKINGS,0.998793956380196
