ARS-NRPN_FARGO,46.8772,-96.7898,town,FARGO
ARS-NRPN_GREAT_FALLS,47.5000,-111.3000,town,GREAT_FALLS
ARS-NRPN_HAVRE,48.5458,-109.6841,town,HAVRE
ARS-NRPN_HAYS,39.0217,-99.8833,town,HAYS
ARS-NRPN_HOLDREGE,40.4400,-99.3690,town,HOLDREGE
ARS-NRPN_JULESBURG,40.9889,-102.2649,town,JULESBURG
ARS-NRPN_KIMBALL,41.2350,-103.6630,town,KIMBALL
ARS-NRPN_LEWISTOWN,47.0625,-109.4280,town,LEWISTOWN
ARS-NRPN_MANDAN,46.8267,-100.8896,town,MANDAN
ARS-NRPN_MILES_CITY,46.4083,-105.8400,town,MILES_CITY
ARS-NRPN_PIERRE,44.3683,-100.3500,town,PIERRE
ARS-NRPN_SCOTTSBLUFF,41.8664,-103.6672,town,SCOTTSBLUFF
ARS-NRPN_SHELBY,48.5050,-111.8560,town,SHELBY
ARS-NRPN_STANLEY,48.3172,-102.3907,town,STANLEY
ARS-NRPN_TORRINGTON,42.0650,-104.1840,town,TORRINGTON
ARS-NRPN_WOLF_POINT,48.0900,-105.6400,town,WOLF_POINT
ARS-NRPN_ABERDEEN_SD,45.4622,-98.4865,town,ABERDEEN
ARS-NRPN_ALMENA_KS,39.8961,-99.7073,town,ALMENA
ARS-NRPN_BAKER_MT,46.3667,-104.2750,town,BAKER
ARS-NRPN_BOTTINEAU_ND,48.8272,-100.4454,town,BOTTINEAU
ARS-NRPN_BOWBELLS_ND,48.8014,-102.2460,town,BOWBELLS
ARS-NRPN_BURLEY_ID,42.5350,-113.7920,town,BURLEY
ARS-NRPN_CIRCLE_MT,47.4167,-105.6000,town,CIRCLE
ARS-NRPN_CUT_BANK_MT,48.6333,-112.3333,town,CUT_BANK
ARS-NRPN_DEADWOOD_SD,44.3769,-103.7290,town,DEADWOOD
ARS-NRPN_DENTON_MT,47.3216,-109.9491,town,DENTON
ARS-NRPN_DUNSEITH_ND,48.8133,-100.0604,town,DUNSEITH
ARS-NRPN_EUREKA_SD,45.7719,-99.6204,town,EUREKA
ARS-NRPN_FAITH_SD,45.0219,-102.0324,town,FAITH
ARS-NRPN_FESSENDEN_ND,47.6497,-99.6268,town,FESSENDEN
ARS-NRPN_GLASGOW_MT,48.1958,-106.6364,town,GLASGOW
ARS-NRPN_GLENDIVE_MT,47.1050,-104.7100,town,GLENDIVE
ARS-NRPN_GLENULLEN_ND,46.8000,-101.8333,town,GLENULLEN
ARS-NRPN_GRAFTON_ND,48.4172,-97.4101,town,GRAFTON
ARS-NRPN_GRAND_FORKS_ND,47.9253,-97.0329,town,GRAND_FORKS
ARS-NRPN_HARLOWTON_MT,46.4350,-109.8350,town,HARLOWTON
ARS-NRPN_HARVEY_ND,47.7692,-99.9310,town,HARVEY
ARS-NRPN_HAVRE_MT,48.5458,-109.6841,town,HAVRE
ARS-NRPN_HILLSBORO_ND,47.4030,-97.0620,town,HILLSBORO
ARS-NRPN_HINSDALE_MT,48.3900,-107.0833,town,HINSDALE
ARS-NRPN_HOT_SPRINGS_SD,43.4311,-103.4744,town,HOT_SPRINGS
ARS-NRPN_JORDAN_MT,47.3200,-106.9000,town,JORDAN
ARS-NRPN_KILLDEER_ND,47.3700,-102.7552,town,KILLDEER
ARS-NRPN_LAUREL_MT,45.6691,-108.7710,town,LAUREL
ARS-NRPN_LEMMON_SD,45.9347,-102.1599,town,LEMMON
ARS-NRPN_LINTON_ND,46.2667,-100.2333,town,LINTON
ARS-NRPN_MALTA_MT,48.3597,-107.8739,town,MALTA
ARS-NRPN_MARMARTH_ND,46.3000,-103.9227,town,MARMARTH
ARS-NRPN_MEDICINE_LAKE_MT,48.5000,-104.5000,town,MEDICINE_LAKE
ARS-NRPN_MILES_CITY_MT,46.4083,-105.8400,town,MILES_CITY
ARS-NRPN_MOBRIDGE_SD,45.5375,-100.4279,town,MOBRIDGE
ARS-NRPN_MONTANA_CITY_MT,46.4980,-111.9390,town,MONTANA_CITY
ARS-NRPN_MOORE_MT,46.9750,-109.6910,town,MOORE
ARS-NRPN_MOTT_ND,46.3722,-102.3263,town,MOTT
ARS-NRPN_MURDO_SD,43.8883,-100.7129,town,MURDO
ARS-NRPN_OPHEIM_MT,48.8572,-106.4083,town,OPHEIM
ARS-NRPN_PARK_RIVER_ND,48.3986,-97.7462,town,PARK_RIVER
ARS-NRPN_PLAZA_ND,47.9550,-101.9560,town,PLAZA
ARS-NRPN_POPLAR_MT,48.1133,-105.1960,town,POPLAR
ARS-NRPN_RAY_ND,48.3425,-103.1663,town,RAY
ARS-NRPN_REDFIELD_SD,44.8730,-98.5187,town,REDFIELD
ARS-NRPN_RICHEY_MT,47.6500,-105.0833,town,RICHEY
ARS-NRPN_RUGBY_ND,48.3681,-99.9960,town,RUGBY
ARS-NRPN_SACO_MT,48.4583,-107.3333,town,SACO
ARS-NRPN_SCOBEY_MT,48.7917,-105.4170,town,SCOBEY
ARS-NRPN_SHELDON_ND,46.5000,-97.4333,town,SHELDON
ARS-NRPN_SHEPHERD_MT,45.9391,-108.3450,town,SHEPHERD
ARS-NRPN_SHERIDAN_WY,44.7972,-106.9562,town,SHERIDAN
ARS-NRPN_STANLEY_ND,48.3172,-102.3907,town,STANLEY
ARS-NRPN_STERLING_CO,40.6255,-103.2077,town,STERLING
ARS-NRPN_TERRY_MT,46.7900,-105.3000,town,TERRY
ARS-NRPN_TIOGA_ND,48.3931,-102.9380,town,TIOGA
ARS-NRPN_TURNER_MT,48.8500,-108.4000,town,TURNER
ARS-NRPN_VIDA_MT,47.7000,-105.4333,town,VIDA
ARS-NRPN_WATFORD_CITY_ND,47.8022,-103.2830,town,WATFORD_CITY
